num_experiments,batch_size,subset_ratio,max_train_steps,test accuracy 0,test accuracy 1,Avg logits_acc,Avg W1_nonzero,Avg W1_killed_neurons,Avg W1_killed_input_features,Avg W2_nonzero,Avg W2_killed_neurons,Avg W2_killed_input_features,Avg W3_nonzero,Avg W3_killed_neurons,Avg W3_killed_input_features,Avg test_accs,Avg iterations,Avg test adversarial acc for rho = 1e-05,Avg test adversarial acc for rho = 0.0001,Avg test adversarial acc for rho = 0.001,Avg test adversarial acc for rho = 0.01,Avg test adversarial acc for rho = 0.1,is_stable,rho,train_size,l2,l0,network_size,learning rate,W1 Nonzero weights,W2 Nonzero weights,W3 Nonzero weights,W1 Stability,W2 Stability,W3 Stability,std,logit_stability,gini_stability
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.25000000406289474,0.48428199404761907,0.0,0.0,0.4901885986328125,0.0,0.0,0.4462890625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.6961538195610046,0.0,0.0,False,0,0.8,1e-05,0,"[256, 128]",0.0003,-0.005167367704934285,0.003142417188970518,0.004033876096321229,0.022804749625535903,0.003166100578225906,0.005113532538944883,0.0,[0.02023504 0.00159699 0.01957938 0.00159699],7.396449704142013e-06
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.25000000406289474,0.48428199404761907,0.0,0.0,0.4901885986328125,0.0,0.0,0.4462890625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.6961538195610046,0.0,0.0,False,0,0.8,1e-05,0,"[256, 128]",0.0003,-0.005167367704934285,0.003142417188970518,0.004033876096321229,0.022804749625535903,0.003166100578225906,0.005113532538944883,0.0,[0.02023504 0.00159699 0.01957938 0.00159699],7.396449704142013e-06
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040440892,0.4751674107142857,0.0,0.0,0.488494873046875,0.0,0.0,0.4326171875,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.696153849363327,0.013461538590490818,0.011538461782038212,False,0,0.8,1e-05,0,"[256, 128]",0.0003,-0.007899951912992129,0.0028558894573149918,-0.0005826505927951685,0.058268721970455725,0.008511031647255057,0.01116595827921394,0.0,[0.03399548 0.04185471 0.04973936 0.04185471],1.4792899408284025e-05
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040440892,0.4751674107142857,0.0,0.0,0.488494873046875,0.0,0.0,0.4326171875,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.696153849363327,0.013461538590490818,0.011538461782038212,False,0,0.8,1e-05,0,"[256, 128]",0.0003,-0.007899951912992129,0.0028558894573149918,-0.0005826505927951685,0.058268721970455725,0.008511031647255057,0.01116595827921394,0.0,[0.03399548 0.04185471 0.04973936 0.04185471],1.4792899408284025e-05
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040440892,0.4751674107142857,0.0,0.0,0.488494873046875,0.0,0.0,0.4326171875,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.696153849363327,0.013461538590490818,0.011538461782038212,False,0,0.8,1e-05,0,"[256, 128]",0.0003,-0.007899951912992129,0.0028558894573149918,-0.0005826505927951685,0.058268721970455725,0.008511031647255057,0.01116595827921394,0.0,[0.03399548 0.04185471 0.04973936 0.04185471],1.4792899408284025e-05
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040906553,0.5107886904761905,0.0,0.0,0.4859161376953125,0.0,0.0,0.447265625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,False,0,0.8,1e-05,0,"[256, 128]",0.0003,6.469623558937241e-05,0.002657694926700555,0.002448800574152433,0.002992692499066947,0.002792945227057999,0.004183863799004269,0.0,[0.06008502 0.02413371 0.01181761 0.02413371],0.0
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.25000000389722676,0.5154389880952381,0.0,0.0,0.534088134765625,0.0,0.0,0.46875,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,False,0,0.8,1e-05,0,"[256, 128]",0.0003,3.373137753031915e-05,0.0036831807765864855,0.008561449485368008,5.999799427051608e-05,0.00024054869032703353,0.0008758355320497499,0.0,[3.65111977e-05 2.13423314e-06 3.22433618e-05 2.13423314e-06],0.0
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040906553,0.5107886904761905,0.0,0.0,0.4859161376953125,0.0,0.0,0.447265625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,False,0,0.8,1e-05,0,"[256, 128]",0.0003,6.469623558937241e-05,0.002657694926700555,0.002448800574152433,0.002992692499066947,0.002792945227057999,0.004183863799004269,0.0,[0.06008502 0.02413371 0.01181761 0.02413371],0.0
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040906553,0.5107886904761905,0.0,0.0,0.4859161376953125,0.0,0.0,0.447265625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,False,0,0.8,1e-05,0,"[256, 128]",0.0003,6.469623558937241e-05,0.002657694926700555,0.002448800574152433,0.002992692499066947,0.002792945227057999,0.004183863799004269,0.0,[0.06008502 0.02413371 0.01181761 0.02413371],0.0
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040906553,0.5107886904761905,0.0,0.0,0.4859161376953125,0.0,0.0,0.447265625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,False,0,0.8,1e-05,0,"[256, 128]",0.0003,6.469623558937241e-05,0.002657694926700555,0.002448800574152433,0.002992692499066947,0.002792945227057999,0.004183863799004269,0.0,[0.06008502 0.02413371 0.01181761 0.02413371],0.0
2,64,0.8,2000,69.9999988079071,69.9999988079071,0.2500000040906553,0.5107886904761905,0.0,0.0,0.4859161376953125,0.0,0.0,0.447265625,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,False,0,0.8,1e-05,0,"[256, 128]",0.0003,6.469623558937241e-05,0.002657694926700555,0.002448800574152433,0.002992692499066947,0.002792945227057999,0.004183863799004269,0.0,[0.06008502 0.02413371 0.01181761 0.02413371],0.0
2,64,0.8,5000,69.9999988079071,69.9999988079071,0.25000000359992,0.4910714285714286,0.0,0.0,0.5047760009765625,0.0,0.0,0.435546875,0.0,0.0,69.9999988079071,1000.0,0.699999988079071,0.699999988079071,0.699999988079071,0.699999988079071,0.3499999940395355,False,0,0.8,1e-05,0,"[256, 128]",0.0003,-2.811770308438118e-05,0.003582704543385804,0.00973679646199901,0.0025165878973976894,0.0020096424380404605,0.003935511630925955,0.0,[0.01237697 0.00173005 0.01583708 0.00173005],0.0
